,date,topic,volume,percentage,state,state_abbrev
202,2024-04-30,New Balance - California State,1339730,28.928542895207904,California,CA
203,2024-04-30,Nike - California State,1824560,39.397387701164064,California,CA
204,2024-03-31,Adidas - California State,1485210,30.30094684720893,California,CA
205,2024-03-31,New Balance - California State,1512520,30.85811981156904,California,CA
206,2024-03-31,Nike - California State,1903800,38.840933341222026,California,CA
207,2024-02-29,Adidas - California State,1187900,28.048195957225264,California,CA
208,2024-02-29,New Balance - California State,1240610,29.292762342363183,California,CA
209,2024-02-29,Nike - California State,1806700,42.65904170041155,California,CA
210,2024-01-31,Adidas - California State,1175910,26.77561411018917,California,CA
211,2024-01-31,New Balance - California State,1236050,28.14500924466952,California,CA
212,2024-01-31,Nike - California State,1979760,45.07937664514131,California,CA
213,2023-12-31,Adidas - California State,1407260,24.2784658568439,California,CA
214,2023-12-31,New Balance - California State,1318670,22.750084967557054,California,CA
215,2023-12-31,Nike - California State,3070400,52.97144917559904,California,CA
216,2023-11-30,Adidas - California State,1427680,26.40546279102457,California,CA
217,2023-11-30,New Balance - California State,1304320,24.123874557036007,California,CA
218,2023-11-30,Nike - California State,2674760,49.47066265193942,California,CA
219,2023-10-31,Adidas - California State,1031620,27.26275703688435,California,CA
220,2023-10-31,New Balance - California State,950080,25.10788876291956,California,CA
221,2023-10-31,Nike - California State,1802290,47.62935420019609,California,CA
222,2023-09-30,Adidas - California State,1091220,28.201781703809186,California,CA
223,2023-09-30,New Balance - California State,973140,25.15009058415798,California,CA
224,2023-09-30,Nike - California State,1804970,46.64812771203283,California,CA
225,2023-08-31,Adidas - California State,1181550,26.660123197725586,California,CA
226,2023-08-31,New Balance - California State,1067100,24.0777093345969,California,CA
227,2023-08-31,Nike - California State,2183250,49.26216746767752,California,CA
228,2023-07-31,Adidas - California State,1073090,25.977839590005782,California,CA
229,2023-07-31,New Balance - California State,929430,22.50005446899988,California,CA
230,2023-07-31,Nike - California State,2128270,51.52210594099434,California,CA
231,2023-06-30,Adidas - California State,1047650,27.683750181669243,California,CA
232,2023-06-30,New Balance - California State,898090,23.73168443722172,California,CA
233,2023-06-30,Nike - California State,1838610,48.58456538110904,California,CA
234,2023-05-31,Adidas - California State,1038020,25.87475166450217,California,CA
235,2023-05-31,New Balance - California State,925530,23.07071049502581,California,CA
236,2023-05-31,Nike - California State,2048160,51.054537840472015,California,CA
